codigo_distrito,distrito,codigo_concelho,concelho,codigo_freguesia,freguesia,eleitores
1,Aveiro,109,Santa Maria da Feira,10921,Rio Meão,41860
1,Aveiro,109,Santa Maria da Feira,10922,Romariz,24109
1,Aveiro,109,Santa Maria da Feira,10924,Sanguedo,10859
1,Aveiro,109,Santa Maria da Feira,10925,Santa Maria de Lamas,24460
1,Aveiro,109,Santa Maria da Feira,10926,São João de Ver,23483
1,Aveiro,109,Santa Maria da Feira,10932,União das freguesias de Caldas de São Jorge e Pigeiros,13930
1,Aveiro,109,Santa Maria da Feira,10933,"União das freguesias de Canedo, Vale e Vila Maior",44120
1,Aveiro,109,Santa Maria da Feira,10934,"União das freguesias de Lobão, Gião, Louredo e Guisande",17696
1,Aveiro,109,Santa Maria da Feira,10935,"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo",46194
1,Aveiro,109,Santa Maria da Feira,10936,União das freguesias de São Miguel do Souto e Mosteirô,44996
1,Aveiro,110,Ílhavo,11005,Gafanha da Encarnação,42669
1,Aveiro,110,Ílhavo,11006,Gafanha da Nazaré,4879
1,Aveiro,110,Ílhavo,11007,Gafanha do Carmo,40120
1,Aveiro,110,Ílhavo,11008,Ílhavo (São Salvador),41813
1,Aveiro,111,Mealhada,11102,Barcouço,11415
1,Aveiro,111,Mealhada,11103,Casal Comba,35205
1,Aveiro,111,Mealhada,11104,Luso,47984
1,Aveiro,111,Mealhada,11106,Pampilhosa,16243
1,Aveiro,111,Mealhada,11107,Vacariça,10908
1,Aveiro,111,Mealhada,11109,"União das freguesias da Mealhada, Ventosa do Bairro e Antes",30494
1,Aveiro,112,Murtosa,11201,Bunheiro,25067
1,Aveiro,112,Murtosa,11202,Monte,17891
1,Aveiro,112,Murtosa,11203,Murtosa,42143
1,Aveiro,112,Murtosa,11204,Torreira,45299
1,Aveiro,113,Oliveira de Azeméis,11301,Carregosa,36700
1,Aveiro,113,Oliveira de Azeméis,11302,Cesar,14592
1,Aveiro,113,Oliveira de Azeméis,11303,Fajões,45066
1,Aveiro,113,Oliveira de Azeméis,11304,Loureiro,21452
1,Aveiro,113,Oliveira de Azeméis,11305,Macieira de Sarnes,3865
1,Aveiro,113,Oliveira de Azeméis,11310,Ossela,15210
1,Aveiro,113,Oliveira de Azeméis,11315,São Martinho da Gândara,2303
1,Aveiro,113,Oliveira de Azeméis,11318,São Roque,20873
1,Aveiro,113,Oliveira de Azeméis,11319,Vila de Cucujães,26490
1,Aveiro,113,Oliveira de Azeméis,11320,União das freguesias de Nogueira do Cravo e Pindelo,17746
1,Aveiro,113,Oliveira de Azeméis,11321,"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",4537
1,Aveiro,113,Oliveira de Azeméis,11322,"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz",14026
1,Aveiro,114,Oliveira do Bairro,11403,Oiã,37370
1,Aveiro,114,Oliveira do Bairro,11404,Oliveira do Bairro,47249
1,Aveiro,114,Oliveira do Bairro,11405,Palhaça,20822
1,Aveiro,114,Oliveira do Bairro,11407,"União das freguesias de Bustos, Troviscal e Mamarrosa",14134
1,Aveiro,115,Ovar,11502,Cortegaça,43154
1,Aveiro,115,Ovar,11503,Esmoriz,32917
1,Aveiro,115,Ovar,11504,Maceda,26128
1,Aveiro,115,Ovar,11507,Válega,42329
1,Aveiro,115,Ovar,11509,"União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã",30271
1,Aveiro,116,São João da Madeira,11601,São João da Madeira,9563
1,Aveiro,117,Sever do Vouga,11702,Couto de Esteves,17559
1,Aveiro,117,Sever do Vouga,11704,Pessegueiro do Vouga,9350
1,Aveiro,117,Sever do Vouga,11705,Rocas do Vouga,16362
1,Aveiro,117,Sever do Vouga,11706,Sever do Vouga,49023
1,Aveiro,117,Sever do Vouga,11708,Talhadas,36989
1,Aveiro,117,Sever do Vouga,11710,União das freguesias de Cedrim e Paradela,35522
1,Aveiro,117,Sever do Vouga,11711,União das freguesias de Silva Escura e Dornelas,17419
1,Aveiro,118,Vagos,11801,Calvão,49156
1,Aveiro,118,Vagos,11804,Gafanha da Boa Hora,38511
1,Aveiro,118,Vagos,11805,Ouca,28277
1,Aveiro,118,Vagos,11807,Sosa,38442
1,Aveiro,118,Vagos,11810,Santo André de Vagos,26375
1,Aveiro,118,Vagos,11812,União das freguesias de Fonte de Angeão e Covão do Lobo,23923
1,Aveiro,118,Vagos,11813,União das freguesias de Ponte de Vagos e Santa Catarina,14573
1,Aveiro,118,Vagos,11814,União das freguesias de Vagos e Santo António,9265
1,Aveiro,119,Vale de Cambra,11901,Arões,33592
1,Aveiro,119,Vale de Cambra,11902,São Pedro de Castelões,32543
1,Aveiro,119,Vale de Cambra,11903,Cepelos,6157
1,Aveiro,119,Vale de Cambra,11905,Junqueira,49730
1,Aveiro,119,Vale de Cambra,11906,Macieira de Cambra,3287
1,Aveiro,119,Vale de Cambra,11907,Roge,7385
1,Aveiro,119,Vale de Cambra,11910,"União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho",10216
2,Beja,201,Aljustrel,20102,Ervidel,41320
2,Beja,201,Aljustrel,20103,Messejana,10684
2,Beja,201,Aljustrel,20104,São João de Negrilhos,44796
2,Beja,201,Aljustrel,20106,União das freguesias de Aljustrel e Rio de Moinhos,27866
2,Beja,202,Almodôvar,20203,Rosário,39286
2,Beja,202,Almodôvar,20205,Santa Cruz,4363
2,Beja,202,Almodôvar,20206,São Barnabé,25416
2,Beja,202,Almodôvar,20208,Aldeia dos Fernandes,25209
2,Beja,202,Almodôvar,20209,União das freguesias de Almodôvar e Graça dos Padrões,39252
2,Beja,202,Almodôvar,20210,União das freguesias de Santa Clara-a-Nova e Gomes Aires,30874
2,Beja,203,Alvito,20301,Alvito,34876
2,Beja,203,Alvito,20302,Vila Nova da Baronia,16676
2,Beja,204,Barrancos,20401,Barrancos,36456
2,Beja,205,Beja,20502,Baleizão,952
2,Beja,205,Beja,20503,Beringel,44783
2,Beja,205,Beja,20504,Cabeça Gorda,47433
2,Beja,205,Beja,20506,Nossa Senhora das Neves,7707
2,Beja,205,Beja,20510,Santa Clara de Louredo,44876
2,Beja,205,Beja,20516,São Matias,35390
2,Beja,205,Beja,20519,União das freguesias de Albernoa e Trindade,49409
2,Beja,205,Beja,20520,União das freguesias de Beja (Salvador e Santa Maria da Feira),17686
2,Beja,205,Beja,20521,União das freguesias de Beja (Santiago Maior e São João Baptista),42206
2,Beja,205,Beja,20522,União das freguesias de Salvada e Quintos,22493
2,Beja,205,Beja,20523,União das freguesias de Santa Vitória e Mombeja,7510
2,Beja,205,Beja,20524,União das freguesias de Trigaches e São Brissos,19434
2,Beja,206,Castro Verde,20603,Entradas,28692
2,Beja,206,Castro Verde,20604,Santa Bárbara de Padrões,10565
2,Beja,206,Castro Verde,20605,São Marcos da Ataboeira,29935
2,Beja,206,Castro Verde,20606,União das freguesias de Castro Verde e Casével,412
2,Beja,207,Cuba,20701,Cuba,47523
2,Beja,207,Cuba,20702,Faro do Alentejo,47364
2,Beja,207,Cuba,20703,Vila Alva,17461
2,Beja,207,Cuba,20704,Vila Ruiva,33006
2,Beja,208,Ferreira do Alentejo,20803,Figueira dos Cavaleiros,11908
2,Beja,208,Ferreira do Alentejo,20804,Odivelas,33471
2,Beja,208,Ferreira do Alentejo,20807,União das freguesias de Alfundão e Peroguarda,7173
2,Beja,208,Ferreira do Alentejo,20808,União das freguesias de Ferreira do Alentejo e Canhestros,41179
2,Beja,209,Mértola,20901,Alcaria Ruiva,19758
2,Beja,209,Mértola,20902,Corte do Pinto,42074
2,Beja,209,Mértola,20903,Espírito Santo,33470
2,Beja,209,Mértola,20904,Mértola,40109
2,Beja,209,Mértola,20905,Santana de Cambas,13235
2,Beja,209,Mértola,20906,São João dos Caldeireiros,10216
2,Beja,209,Mértola,20910,"União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros",24704
2,Beja,210,Moura,21001,Amareleja,10787
2,Beja,210,Moura,21002,Póvoa de São Miguel,35548
2,Beja,210,Moura,21008,Sobral da Adiça,34957
2,Beja,210,Moura,21009,União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador,237
2,Beja,210,Moura,21010,União das freguesias de Safara e Santo Aleixo da Restauração,39452
2,Beja,211,Odemira,21102,Relíquias,21443
2,Beja,211,Odemira,21103,Sabóia,32221
2,Beja,211,Odemira,21106,São Luís,1476
2,Beja,211,Odemira,21107,São Martinho das Amoreiras,7531
2,Beja,211,Odemira,21111,Vila Nova de Milfontes,23988
2,Beja,211,Odemira,21115,Luzianes-Gare,20353
2,Beja,211,Odemira,21116,Boavista dos Pinheiros,15892
2,Beja,211,Odemira,21117,Longueira/Almograve,3996
2,Beja,211,Odemira,21118,Colos,15985
2,Beja,211,Odemira,21119,Santa Clara-a-Velha,37382
2,Beja,211,Odemira,21120,São Salvador e Santa Maria,5361
2,Beja,211,Odemira,21121,São Teotónio,5813
2,Beja,211,Odemira,21122,Vale de Santiago,48166
2,Beja,212,Ourique,21203,Ourique,32049
2,Beja,212,Ourique,21206,Santana da Serra,4735
2,Beja,212,Ourique,21207,União das freguesias de Garvão e Santa Luzia,35111
2,Beja,212,Ourique,21208,União das freguesias de Panoias e Conceição,8441
2,Beja,213,Serpa,21302,Brinches,8614
2,Beja,213,Serpa,21303,Pias,43437
2,Beja,213,Serpa,21307,Vila Verde de Ficalho,31348
2,Beja,213,Serpa,21308,União das freguesias de Serpa (Salvador e Santa Maria),36231
2,Beja,213,Serpa,21309,União das freguesias de Vila Nova de São Bento e Vale de Vargo,11021
2,Beja,214,Vidigueira,21401,Pedrógão,17570
2,Beja,214,Vidigueira,21402,Selmes,34781
2,Beja,214,Vidigueira,21403,Vidigueira,39953
2,Beja,214,Vidigueira,21404,Vila de Frades,27930
3,Braga,301,Amares,30102,Barreiros,14080
3,Braga,301,Amares,30104,Bico,35543
3,Braga,301,Amares,30105,Caires,49697
3,Braga,301,Amares,30107,Carrazedo,48036
3,Braga,301,Amares,30108,Dornelas,45411
3,Braga,301,Amares,30111,Fiscal,13382
3,Braga,301,Amares,30112,Goães,46923
3,Braga,301,Amares,30113,Lago,20628
3,Braga,301,Amares,30118,Rendufe,26348
3,Braga,301,Amares,30119,Bouro (Santa Maria),44219
3,Braga,301,Amares,30120,Bouro (Santa Marta),42790
3,Braga,301,Amares,30125,União das freguesias de Amares e Figueiredo,24672
3,Braga,301,Amares,30126,"União das freguesias de Caldelas, Sequeiros e Paranhos",28911
3,Braga,301,Amares,30127,"União das freguesias de Ferreiros, Prozelo e Besteiros",34119
3,Braga,301,Amares,30128,União das freguesias de Torre e Portela,29788
3,Braga,301,Amares,30129,"União das freguesias de Vilela, Seramil e Paredes Secas",8130
3,Braga,302,Barcelos,30201,Abade de Neiva,16446
3,Braga,302,Barcelos,30202,Aborim,14925
3,Braga,302,Barcelos,30203,Adães,4396
3,Braga,302,Barcelos,30205,Airó,22356
3,Braga,302,Barcelos,30206,Aldreu,1578
3,Braga,302,Barcelos,30208,Alvelos,38755
3,Braga,302,Barcelos,30209,Arcozelo,36501
3,Braga,302,Barcelos,30210,Areias,15280
3,Braga,302,Barcelos,30212,Balugães,38764
3,Braga,302,Barcelos,30213,Barcelinhos,14632
3,Braga,302,Barcelos,30215,Barqueiros,671
3,Braga,302,Barcelos,30216,Cambeses,4852
3,Braga,302,Barcelos,30218,Carapeços,46589
3,Braga,302,Barcelos,30220,Carvalhal,41559
3,Braga,302,Barcelos,30221,Carvalhas,4058
3,Braga,302,Barcelos,30224,Cossourado,15203
3,Braga,302,Barcelos,30228,Cristelo,4617
3,Braga,302,Barcelos,30234,Fornelos,2258
3,Braga,302,Barcelos,30235,Fragoso,21854
3,Braga,302,Barcelos,30237,Gilmonde,4843
3,Braga,302,Barcelos,30242,Lama,33895
3,Braga,302,Barcelos,30243,Lijó,15797
3,Braga,302,Barcelos,30244,Macieira de Rates,18450
3,Braga,302,Barcelos,30245,Manhente,44042
3,Braga,302,Barcelos,30247,Martim,32012
3,Braga,302,Barcelos,30252,Moure,14240
3,Braga,302,Barcelos,30254,Oliveira,35539
3,Braga,302,Barcelos,30255,Palme,8871
3,Braga,302,Barcelos,30256,Panque,47605
3,Braga,302,Barcelos,30257,Paradela,37623
3,Braga,302,Barcelos,30259,Pereira,37962
3,Braga,302,Barcelos,30260,Perelhal,31176
3,Braga,302,Barcelos,30261,Pousa,16125
3,Braga,302,Barcelos,30263,Remelhe,31196
3,Braga,302,Barcelos,30264,Roriz,26877
3,Braga,302,Barcelos,30265,Rio Covo (Santa Eugénia),12678
3,Braga,302,Barcelos,30268,Galegos (Santa Maria),6381
3,Braga,302,Barcelos,30272,Galegos (São Martinho),6552
3,Braga,302,Barcelos,30277,Tamel (São Veríssimo),43387
3,Braga,302,Barcelos,30279,Silva,28449
3,Braga,302,Barcelos,30282,Ucha,23419
3,Braga,302,Barcelos,30283,Várzea,27959
3,Braga,302,Barcelos,30287,Vila Seca,27141
3,Braga,302,Barcelos,30290,União das freguesias de Alheira e Igreja Nova,30806
3,Braga,302,Barcelos,30291,União das freguesias de Alvito (São Pedro e São Martinho) e Couto,47980
3,Braga,302,Barcelos,30292,União das freguesias de Areias de Vilar e Encourados,3750
3,Braga,302,Barcelos,30293,"União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)",44329
3,Braga,302,Barcelos,30294,União das freguesias de Campo e Tamel (São Pedro Fins),43024
3,Braga,302,Barcelos,30295,União das freguesias de Carreira e Fonte Coberta,42548
3,Braga,302,Barcelos,30296,"União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral",6649
3,Braga,302,Barcelos,30297,União das freguesias de Creixomil e Mariz,4172
3,Braga,302,Barcelos,30298,União das freguesias de Durrães e Tregosa,26586
3,Braga,302,Barcelos,30299,União das freguesias de Gamil e Midões,47924
3,Braga,302,Barcelos,0302FA,"União das freguesias de Milhazes, Vilar de Figos e Faria",22436
3,Braga,302,Barcelos,0302FB,União das freguesias de Negreiros e Chavão,7361
3,Braga,302,Barcelos,0302FC,União das freguesias de Quintiães e Aguiar,16495
3,Braga,302,Barcelos,0302FD,União das freguesias de Sequeade e Bastuço (São João e Santo Estevão),12756
3,Braga,302,Barcelos,0302FE,União das freguesias de Silveiros e Rio Covo (Santa Eulália),12665
3,Braga,302,Barcelos,0302FF,União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte,35346
3,Braga,302,Barcelos,0302FG,"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães",29600
3,Braga,302,Barcelos,0302FH,União das freguesias de Vila Cova e Feitos,9386
3,Braga,303,Braga,30301,Adaúfe,27848
3,Braga,303,Braga,30312,Espinho,12225
3,Braga,303,Braga,30313,Esporões,18454
3,Braga,303,Braga,30315,Figueiredo,30518
3,Braga,303,Braga,30319,Gualtar,16571
3,Braga,303,Braga,30322,Lamas,5140
3,Braga,303,Braga,30325,Mire de Tibães,29241
3,Braga,303,Braga,30330,Padim da Graça,36266
3,Braga,303,Braga,30331,Palmeira,6616
3,Braga,303,Braga,30334,Pedralva,3515
3,Braga,303,Braga,30336,Priscos,42938
3,Braga,303,Braga,30338,Ruilhe,35627
3,Braga,303,Braga,30349,Braga (São Vicente),1167
3,Braga,303,Braga,30351,Braga (São Vítor),6312
3,Braga,303,Braga,30354,Sequeira,49585
3,Braga,303,Braga,30355,Sobreposta,15691
3,Braga,303,Braga,30356,Tadim,11099
3,Braga,303,Braga,30357,Tebosa,26834
3,Braga,303,Braga,30363,União das freguesias de Arentim e Cunha,32026
3,Braga,303,Braga,30364,"União das freguesias de Braga (Maximinos, Sé e Cividade)",31746
3,Braga,303,Braga,30365,União das freguesias de Braga (São José de São Lázaro e São João do Souto),14208
3,Braga,303,Braga,30366,União das freguesias de Cabreiros e Passos (São Julião),26482
3,Braga,303,Braga,30367,"União das freguesias de Celeirós, Aveleda e Vimieiro",4042
3,Braga,303,Braga,30368,União das freguesias de Crespos e Pousada,10989
3,Braga,303,Braga,30369,União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente),25036
3,Braga,303,Braga,30370,União das freguesias de Este (São Pedro e São Mamede),341
3,Braga,303,Braga,30371,União das freguesias de Ferreiros e Gondizalves,25786
3,Braga,303,Braga,30372,União das freguesias de Guisande e Oliveira (São Pedro),17580
3,Braga,303,Braga,30373,União das freguesias de Lomar e Arcos,30019
3,Braga,303,Braga,30374,"União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães",18894
3,Braga,303,Braga,30375,União das freguesias de Merelim (São Pedro) e Frossos,27922
3,Braga,303,Braga,30376,União das freguesias de Morreira e Trandeiras,45851
3,Braga,303,Braga,30377,"União das freguesias de Nogueira, Fraião e Lamaçães",48074
3,Braga,303,Braga,30378,União das freguesias de Nogueiró e Tenões,36622
3,Braga,303,Braga,30379,"União das freguesias de Real, Dume e Semelhe",43576
3,Braga,303,Braga,30380,União das freguesias de Santa Lucrécia de Algeriz e Navarra,47281
3,Braga,303,Braga,30381,União das freguesias de Vilaça e Fradelos,32094
3,Braga,304,Cabeceiras de Basto,30401,Abadim,10344
3,Braga,304,Cabeceiras de Basto,30404,Basto,12645
3,Braga,304,Cabeceiras de Basto,30405,Bucos,19645
3,Braga,304,Cabeceiras de Basto,30406,Cabeceiras de Basto,14467
3,Braga,304,Cabeceiras de Basto,30407,Cavez,4032
3,Braga,304,Cabeceiras de Basto,30408,Faia,38157
3,Braga,304,Cabeceiras de Basto,30413,Pedraça,48417
3,Braga,304,Cabeceiras de Basto,30415,Rio Douro,35733
3,Braga,304,Cabeceiras de Basto,30418,União das freguesias de Alvite e Passos,4194
3,Braga,304,Cabeceiras de Basto,30419,União das freguesias de Arco de Baúlhe e Vila Nune,49219
3,Braga,304,Cabeceiras de Basto,30420,União das freguesias de Gondiães e Vilar de Cunhas,20752
3,Braga,304,Cabeceiras de Basto,30421,"União das freguesias de Refojos de Basto, Outeiro e Painzela",3946
3,Braga,305,Celorico de Basto,30501,Agilde,3486
3,Braga,305,Celorico de Basto,30502,Arnóia,38484
3,Braga,305,Celorico de Basto,30503,Borba de Montanha,31446
3,Braga,305,Celorico de Basto,30508,Codeçoso,33154
3,Braga,305,Celorico de Basto,30510,Fervença,35007
3,Braga,305,Celorico de Basto,30515,Moreira do Castelo,10517
3,Braga,305,Celorico de Basto,30517,Rego,3927
3,Braga,305,Celorico de Basto,30518,Ribas,33481
3,Braga,305,Celorico de Basto,30520,Basto (São Clemente),5450
3,Braga,305,Celorico de Basto,30521,Vale de Bouro,12378
3,Braga,305,Celorico de Basto,30523,"União das freguesias de Britelo, Gémeos e Ourilhe",4690
3,Braga,305,Celorico de Basto,30524,União das freguesias de Caçarilhe e Infesta,39196
3,Braga,305,Celorico de Basto,30525,União das freguesias de Canedo de Basto e Corgo,4653
3,Braga,305,Celorico de Basto,30526,União das freguesias de Carvalho e Basto (Santa Tecla),44450
3,Braga,305,Celorico de Basto,30527,"União das freguesias de Veade, Gagos e Molares",15614
3,Braga,306,Esposende,30601,Antas,26661
3,Braga,306,Esposende,30608,Forjães,8056
3,Braga,306,Esposende,30610,Gemeses,37534
3,Braga,306,Esposende,30615,Vila Chã,16335
3,Braga,306,Esposende,30616,União das freguesias de Apúlia e Fão,38140
3,Braga,306,Esposende,30617,União das freguesias de Belinho e Mar,39162
3,Braga,306,Esposende,30618,"União das freguesias de Esposende, Marinhas e Gandra",2804
3,Braga,306,Esposende,30619,União das freguesias de Fonte Boa e Rio Tinto,40791
3,Braga,306,Esposende,30620,União das freguesias de Palmeira de Faro e Curvos,5572
3,Braga,307,Fafe,30705,Armil,27674
3,Braga,307,Fafe,30708,Estorãos,43281
3,Braga,307,Fafe,30709,Fafe,38451
3,Braga,307,Fafe,30712,Fornelos,37242
3,Braga,307,Fafe,30714,Golães,34461
3,Braga,307,Fafe,30716,Medelo,20933
3,Braga,307,Fafe,30719,Passos,17289
3,Braga,307,Fafe,30722,Quinchães,13586
3,Braga,307,Fafe,30723,Regadas,44091
3,Braga,307,Fafe,30724,Revelhe,47136
3,Braga,307,Fafe,30725,Ribeiros,20790
3,Braga,307,Fafe,30726,Arões (Santa Cristina),15842
3,Braga,307,Fafe,30728,São Gens,17607
3,Braga,307,Fafe,30729,Silvares (São Martinho),26138
3,Braga,307,Fafe,30730,Arões (São Romão),8777
3,Braga,307,Fafe,30733,Travassós,44219
3,Braga,307,Fafe,30736,Vinhós,42503
3,Braga,307,Fafe,30737,"União de freguesias de Aboim, Felgueiras, Gontim e Pedraído",19860
3,Braga,307,Fafe,30738,União de freguesias de Agrela e Serafão,30164
3,Braga,307,Fafe,30739,União de freguesias de Antime e Silvares (São Clemente),20920
3,Braga,307,Fafe,30740,"União de freguesias de Ardegão, Arnozela e Seidões",49474
3,Braga,307,Fafe,30741,União de freguesias de Cepães e Fareja,4954
3,Braga,307,Fafe,30742,União de freguesias de Freitas e Vila Cova,810
3,Braga,307,Fafe,30743,União de freguesias de Monte e Queimadela,30234
3,Braga,307,Fafe,30744,União de freguesias de Moreira do Rei e Várzea Cova,40908
3,Braga,308,Guimarães,30801,Aldão,37096
3,Braga,308,Guimarães,30804,Azurém,6752
3,Braga,308,Guimarães,30806,Barco,5001
3,Braga,308,Guimarães,30807,Brito,35434
3,Braga,308,Guimarães,30808,Caldelas,14169
3,Braga,308,Guimarães,30812,Costa,33353
3,Braga,308,Guimarães,30813,Creixomil,17580
3,Braga,308,Guimarães,30815,Fermentões,8880
3,Braga,308,Guimarães,30820,Gonça,23072
3,Braga,308,Guimarães,30821,Gondar,4708
3,Braga,308,Guimarães,30823,Guardizela,16209
3,Braga,308,Guimarães,30824,Infantas,24417
3,Braga,308,Guimarães,30827,Longos,18876
3,Braga,308,Guimarães,30828,Lordelo,10538
3,Braga,308,Guimarães,30830,Mesão Frio,28916
3,Braga,308,Guimarães,30831,Moreira de Cónegos,35800
3,Braga,308,Guimarães,30832,Nespereira,46307
3,Braga,308,Guimarães,30835,Pencelo,20025
3,Braga,308,Guimarães,30836,Pinheiro,40286
3,Braga,308,Guimarães,30837,Polvoreira,43058
3,Braga,308,Guimarães,30838,Ponte,34864
3,Braga,308,Guimarães,30840,Ronfe,712
